Category,ItemId,Plan,Super Category,Volume
Sub Category 9,Product 1335,Region 1,Category 2,4
Sub Category 9,Product 1336,Region 1,Category 2,3
Sub Category 9,Product 1326,Region 1,Category 2,1.94
Sub Category 9,Product 1328,Region 1,Category 2,31.73
Sub Category 9,Product 1323,Region 1,Category 2,216
Sub Category 9,Product 1324,Region 1,Category 2,25
Sub Category 9,Product 533,Region 1,Category 2,5.6
Sub Category 9,Product 532,Region 1,Category 2,2.8
Sub Category 9,Product 542,Region 1,Category 2,24.89
Sub Category 9,Product 541,Region 1,Category 2,21.33
Sub Category 9,Product 543,Region 1,Category 2,0.67
Sub Category 9,Product 545,Region 1,Category 2,1.67
Sub Category 9,Product 544,Region 1,Category 2,15.67
Sub Category 9,Product 4820,Region 1,Category 2,1.4
Sub Category 9,Product 2270,Region 1,Category 2,12.11
Sub Category 9,Product 2284,Region 1,Category 2,88.78
Sub Category 9,Product 2288,Region 1,Category 2,0.11
Sub Category 9,Product 916,Region 1,Category 2,622.67
Sub Category 9,Product 1824,Region 1,Category 2,8.4
Sub Category 9,Product 4004,Region 1,Category 2,0.67
Sub Category 9,Product 2342,Region 1,Category 2,0.78
Sub Category 10,Product 1227,Region 1,Category 2,286.73
Sub Category 10,Product 1229,Region 1,Category 2,14.67
Sub Category 10,Product 2415,Region 1,Category 2,2.93
Sub Category 10,Product 270,Region 1,Category 2,5.13
Sub Category 10,Product 266,Region 1,Category 2,2.93
Sub Category 10,Product 1228,Region 1,Category 2,1107.33
Sub Category 11,Product 948,Region 1,Category 2,272
Sub Category 11,Product 1187,Region 1,Category 2,160.67
Sub Category 11,Product 1193,Region 1,Category 2,55
Sub Category 11,Product 946,Region 1,Category 2,206.67
Sub Category 11,Product 1191,Region 1,Category 2,19.33
Sub Category 11,Product 1186,Region 1,Category 2,0.23
Sub Category 11,Product 1190,Region 1,Category 2,29.33
Sub Category 11,Product 958,Region 1,Category 2,412
Sub Category 11,Product 949,Region 1,Category 2,760
Sub Category 11,Product 960,Region 1,Category 2,315
Sub Category 11,Product 952,Region 1,Category 2,498
Sub Category 11,Product 1192,Region 1,Category 2,7.11
Sub Category 11,Product 3565,Region 1,Category 2,42
Sub Category 11,Product 2522,Region 1,Category 2,0.16
Sub Category 11,Product 3370,Region 1,Category 2,26
Sub Category 11,Product 3371,Region 1,Category 2,11.33
Sub Category 11,Product 3369,Region 1,Category 2,4
Sub Category 11,Product 957,Region 1,Category 2,252
Sub Category 11,Product 3702,Region 1,Category 2,6.67
Sub Category 11,Product 3075,Region 1,Category 2,1.87
Sub Category 11,Product 2411,Region 1,Category 2,49.11
Sub Category 11,Product 3,Region 1,Category 2,7.47
Sub Category 11,Product 5,Region 1,Category 2,6
Sub Category 11,Product 4,Region 1,Category 2,12
Sub Category 11,Product 6,Region 1,Category 2,9.33
Sub Category 11,Product 2978,Region 1,Category 2,11.78
Sub Category 11,Product 3520,Region 1,Category 2,17.33
Sub Category 11,Product 3521,Region 1,Category 2,21.33
Sub Category 11,Product 3522,Region 1,Category 2,13.33
Sub Category 11,Product 2982,Region 1,Category 2,1.33
Sub Category 11,Product 2975,Region 1,Category 2,29.78
Sub Category 11,Product 2976,Region 1,Category 2,22
Sub Category 11,Product 2977,Region 1,Category 2,16
Sub Category 11,Product 2974,Region 1,Category 2,39.33
Sub Category 11,Product 3772,Region 1,Category 2,64
Sub Category 11,Product 3987,Region 1,Category 2,2.33
Sub Category 11,Product 4232,Region 1,Category 2,8.4
Sub Category 11,Product 4233,Region 1,Category 2,2.33
Sub Category 11,Product 4234,Region 1,Category 2,5.6
Sub Category 11,Product 7163,Region 1,Category 2,2.8
Sub Category 11,Product 3130,Region 1,Category 2,0.08
Sub Category 11,Product 2503,Region 1,Category 2,70
Sub Category 11,Product 3525,Region 1,Category 2,20.07
Sub Category 11,Product 2322,Region 1,Category 2,2
Sub Category 11,Product 2281,Region 1,Category 2,15.67
Sub Category 11,Product 2321,Region 1,Category 2,10.89
Sub Category 11,Product 7765,Region 1,Category 2,3.33
Sub Category 11,Product 7451,Region 1,Category 2,41.33
Sub Category 12,Product 2758,Region 1,Category 2,13.53
Sub Category 12,Product 2759,Region 1,Category 2,12.13
Sub Category 12,Product 2757,Region 1,Category 2,2.33
Sub Category 12,Product 420,Region 1,Category 2,5.33
Sub Category 12,Product 422,Region 1,Category 2,40
Sub Category 12,Product 1002,Region 1,Category 2,6
Sub Category 12,Product 1001,Region 1,Category 2,3.5
Sub Category 12,Product 1008,Region 1,Category 2,43.5
Sub Category 12,Product 1006,Region 1,Category 2,11.5
